Number of cells = 50
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 5.591385e-02
Root mean square error = 1.002290e-01

Wall time = 6.374000e-04 seconds

              x  Numerical_solution      Exact_solution               Error
   0.000000e+00        1.934046e-03        7.811489e-07        1.933265e-03
   2.000000e-02        3.981682e-03        4.785117e-06        3.976897e-03
   4.000000e-02        7.834879e-03        2.586810e-05        7.809011e-03
   6.000000e-02        1.472904e-02        1.234098e-04        1.460563e-02
   8.000000e-02        2.644166e-02        5.195747e-04        2.592208e-02
   1.000000e-01        4.530605e-02        1.930454e-03        4.337560e-02
   1.200000e-01        7.405303e-02        6.329715e-03        6.772332e-02
   1.400000e-01        1.153981e-01        1.831564e-02        9.708245e-02
   1.600000e-01        1.713395e-01        4.677062e-02        1.245688e-01
   1.800000e-01        2.422346e-01        1.053992e-01        1.368354e-01
   2.000000e-01        3.258627e-01        2.096114e-01        1.162513e-01
   2.200000e-01        4.168062e-01        3.678794e-01        4.892677e-02
   2.400000e-01        5.065213e-01        5.697828e-01       -6.326157e-02
   2.600000e-01        5.843438e-01        7.788008e-01       -1.944570e-01
   2.800000e-01        6.393957e-01        9.394131e-01       -3.000173e-01
   3.000000e-01        6.629853e-01        1.000000e+00       -3.370147e-01
   3.200000e-01        6.508064e-01        9.394131e-01       -2.886067e-01
   3.400000e-01        6.041877e-01        7.788008e-01       -1.746131e-01
   3.600000e-01        5.299069e-01        5.697828e-01       -3.987591e-02
   3.800000e-01        4.385779e-01        3.678794e-01        7.069846e-02
   4.000000e-01        3.421375e-01        2.096114e-01        1.325261e-01
   4.200000e-01        2.512603e-01        1.053992e-01        1.458611e-01
   4.400000e-01        1.734814e-01        4.677062e-02        1.267108e-01
   4.600000e-01        1.124603e-01        1.831564e-02        9.414462e-02
   4.800000e-01        6.835126e-02        6.329715e-03        6.202155e-02
   5.000000e-01        3.889138e-02        1.930454e-03        3.696092e-02
   5.200000e-01        2.068478e-02        5.195747e-04        2.016520e-02
   5.400000e-01        1.026701e-02        1.234098e-04        1.014360e-02
   5.600000e-01        4.748016e-03        2.586810e-05        4.722148e-03
   5.800000e-01        2.042249e-03        4.785117e-06        2.037464e-03
   6.000000e-01        8.155736e-04        7.811489e-07        8.147924e-04
   6.200000e-01        3.018436e-04        1.125352e-07        3.017310e-04
   6.400000e-01        1.033357e-04        1.430724e-08        1.033214e-04
   6.600000e-01        3.266136e-05        1.605228e-09        3.265976e-05
   6.800000e-01        9.512295e-06        1.589391e-10        9.512136e-06
   7.000000e-01        2.547811e-06        1.388794e-11        2.547797e-06
   7.200000e-01        6.269920e-07        1.070923e-12        6.269910e-07
   7.400000e-01        1.439931e-07        7.287724e-14        1.439930e-07
   7.600000e-01        3.996031e-08        4.376619e-15        3.996031e-08
   7.800000e-01        4.345329e-08        2.319523e-16        4.345329e-08
   8.000000e-01        1.272574e-07        1.084855e-17        1.272574e-07
   8.200000e-01        4.023363e-07        4.477732e-19        4.023363e-07
   8.400000e-01        1.226683e-06        1.631014e-20        1.226683e-06
   8.600000e-01        3.584032e-06        5.242886e-22        3.584032e-06
   8.800000e-01        1.003097e-05        1.487292e-23        1.003097e-05
   9.000000e-01        2.688955e-05        3.723363e-25        2.688955e-05
   9.200000e-01        6.902662e-05        8.225981e-27        6.902662e-05
   9.400000e-01        1.696463e-04        1.603811e-28        1.696463e-04
   9.600000e-01        3.990727e-04        2.759509e-30        3.990727e-04
   9.800000e-01        8.982729e-04        4.190093e-32        8.982729e-04
