# Number of cells = 800
# CFL = 8.000000e-01
# a = 1.000000e+00
# L1 error = 5.161327e-03
# Root mean square error = 1.021636e-02
# Wall time = 1.337140e-02 seconds

VARIABLES = "x" "Numerical_solution" "Exact_solution" "Error"
ZONE I=800, F=POINT
0.000000e+00 1.973464e-06 7.811489e-07 1.192316e-06
1.250000e-03 2.221682e-06 8.780550e-07 1.343627e-06
2.500000e-03 2.496983e-06 9.865009e-07 1.510482e-06
3.750000e-03 2.802049e-06 1.107800e-06 1.694249e-06
5.000000e-03 3.139827e-06 1.243406e-06 1.896421e-06
6.250000e-03 3.513561e-06 1.394930e-06 2.118630e-06
7.500000e-03 3.926815e-06 1.564156e-06 2.362658e-06
8.750000e-03 4.383509e-06 1.753055e-06 2.630454e-06
1.000000e-02 4.887954e-06 1.963808e-06 2.924146e-06
1.125000e-02 5.444882e-06 2.198824e-06 3.246059e-06
1.250000e-02 6.059492e-06 2.460763e-06 3.598729e-06
1.375000e-02 6.737484e-06 2.752562e-06 3.984923e-06
1.500000e-02 7.485113e-06 3.077459e-06 4.407654e-06
1.625000e-02 8.309228e-06 3.439026e-06 4.870202e-06
1.750000e-02 9.217329e-06 3.841197e-06 5.376132e-06
1.875000e-02 1.021762e-05 4.288304e-06 5.929314e-06
2.000000e-02 1.131906e-05 4.785117e-06 6.533946e-06
2.125000e-02 1.253145e-05 5.336881e-06 7.194574e-06
2.250000e-02 1.386548e-05 5.949362e-06 7.916119e-06
2.375000e-02 1.533279e-05 6.628896e-06 8.703898e-06
2.500000e-02 1.694609e-05 7.382441e-06 9.563654e-06
2.625000e-02 1.871921e-05 8.217632e-06 1.050158e-05
2.750000e-02 2.066720e-05 9.142844e-06 1.152435e-05
2.875000e-02 2.280642e-05 1.016726e-05 1.263916e-05
3.000000e-02 2.515467e-05 1.130094e-05 1.385373e-05
3.125000e-02 2.773126e-05 1.255489e-05 1.517638e-05
3.250000e-02 3.055719e-05 1.394117e-05 1.661602e-05
3.375000e-02 3.365522e-05 1.547297e-05 1.818225e-05
3.500000e-02 3.705002e-05 1.716469e-05 1.988534e-05
3.625000e-02 4.076836e-05 1.903208e-05 2.173628e-05
3.750000e-02 4.483921e-05 2.109232e-05 2.374689e-05
3.875000e-02 4.929394e-05 2.336418e-05 2.592977e-05
4.000000e-02 5.416651e-05 2.586810e-05 2.829841e-05
4.125000e-02 5.949363e-05 2.862639e-05 3.086724e-05
4.250000e-02 6.531498e-05 3.166332e-05 3.365166e-05
4.375000e-02 7.167344e-05 3.500535e-05 3.666809e-05
4.500000e-02 7.861529e-05 3.868122e-05 3.993407e-05
4.625000e-02 8.619049e-05 4.272224e-05 4.346825e-05
4.750000e-02 9.445291e-05 4.716238e-05 4.729054e-05
4.875000e-02 1.034606e-04 5.203857e-05 5.142207e-05
5.000000e-02 1.132763e-04 5.739089e-05 5.588536e-05
5.125000e-02 1.239671e-04 6.326281e-05 6.070431e-05
5.250000e-02 1.356058e-04 6.970148e-05 6.590428e-05
5.375000e-02 1.482701e-04 7.675796e-05 7.151219e-05
5.500000e-02 1.620441e-04 8.448756e-05 7.755658e-05
5.625000e-02 1.770178e-04 9.295015e-05 8.406767e-05
5.750000e-02 1.932879e-04 1.022105e-04 9.107745e-05
5.875000e-02 2.109582e-04 1.123385e-04 9.861972e-05
6.000000e-02 2.301400e-04 1.234098e-04 1.067302e-04
6.125000e-02 2.509528e-04 1.355061e-04 1.154467e-04
6.250000e-02 2.735243e-04 1.487153e-04 1.248089e-04
6.375000e-02 2.979914e-04 1.631326e-04 1.348588e-04
6.500000e-02 3.245007e-04 1.788602e-04 1.456406e-04
6.625000e-02 3.532089e-04 1.960083e-04 1.572006e-04
6.750000e-02 3.842834e-04 2.146957e-04 1.695877e-04
6.875000e-02 4.179031e-04 2.350499e-04 1.828533e-04
7.000000e-02 4.542591e-04 2.572081e-04 1.970510e-04
7.125000e-02 4.935552e-04 2.813178e-04 2.122374e-04
7.250000e-02 5.360087e-04 3.075373e-04 2.284713e-04
7.375000e-02 5.818512e-04 3.360364e-04 2.458147e-04
7.500000e-02 6.313294e-04 3.669972e-04 2.643321e-04
7.625000e-02 6.847059e-04 4.006150e-04 2.840910e-04
7.750000e-02 7.422602e-04 4.370987e-04 3.051615e-04
7.875000e-02 8.042893e-04 4.766721e-04 3.276171e-04
8.000000e-02 8.711087e-04 5.195747e-04 3.515340e-04
8.125000e-02 9.430537e-04 5.660622e-04 3.769915e-04
8.250000e-02 1.020480e-03 6.164079e-04 4.040720e-04
8.375000e-02 1.103765e-03 6.709038e-04 4.328609e-04
8.500000e-02 1.193308e-03 7.298611e-04 4.634468e-04
8.625000e-02 1.289533e-03 7.936119e-04 4.959213e-04
8.750000e-02 1.392889e-03 8.625098e-04 5.303791e-04
8.875000e-02 1.503850e-03 9.369315e-04 5.669180e-04
9.000000e-02 1.622917e-03 1.017278e-03 6.056390e-04
9.125000e-02 1.750621e-03 1.103975e-03 6.466458e-04
9.250000e-02 1.887521e-03 1.197476e-03 6.900452e-04
9.375000e-02 2.034209e-03 1.298262e-03 7.359469e-04
9.500000e-02 2.191307e-03 1.406844e-03 7.844633e-04
9.625000e-02 2.359473e-03 1.523763e-03 8.357095e-04
9.750000e-02 2.539396e-03 1.649593e-03 8.898033e-04
9.875000e-02 2.731807e-03 1.784942e-03 9.468646e-04
1.000000e-01 2.937470e-03 1.930454e-03 1.007016e-03
1.012500e-01 3.157191e-03 2.086809e-03 1.070382e-03
1.025000e-01 3.391814e-03 2.254727e-03 1.137088e-03
1.037500e-01 3.642229e-03 2.434967e-03 1.207263e-03
1.050000e-01 3.909367e-03 2.628331e-03 1.281036e-03
1.062500e-01 4.194203e-03 2.835666e-03 1.358537e-03
1.075000e-01 4.497761e-03 3.057863e-03 1.439898e-03
1.087500e-01 4.821112e-03 3.295861e-03 1.525251e-03
1.100000e-01 5.165376e-03 3.550649e-03 1.614727e-03
1.112500e-01 5.531725e-03 3.823265e-03 1.708459e-03
1.125000e-01 5.921382e-03 4.114804e-03 1.806578e-03
1.137500e-01 6.335625e-03 4.426412e-03 1.909214e-03
1.150000e-01 6.775788e-03 4.759293e-03 2.016495e-03
1.162500e-01 7.243258e-03 5.114709e-03 2.128549e-03
1.175000e-01 7.739484e-03 5.493984e-03 2.245500e-03
1.187500e-01 8.265972e-03 5.898503e-03 2.367469e-03
1.200000e-01 8.824289e-03 6.329715e-03 2.494574e-03
1.212500e-01 9.416064e-03 6.789136e-03 2.626928e-03
1.225000e-01 1.004299e-02 7.278347e-03 2.764641e-03
1.237500e-01 1.070682e-02 7.799000e-03 2.907815e-03
1.250000e-01 1.140937e-02 8.352819e-03 3.056548e-03
1.262500e-01 1.215253e-02 8.941597e-03 3.210930e-03
1.275000e-01 1.293825e-02 9.567206e-03 3.371044e-03
1.287500e-01 1.376855e-02 1.023159e-02 3.536964e-03
1.300000e-01 1.464552e-02 1.093677e-02 3.708757e-03
1.312500e-01 1.557132e-02 1.168484e-02 3.886476e-03
1.325000e-01 1.654816e-02 1.247799e-02 4.070168e-03
1.337500e-01 1.757833e-02 1.331847e-02 4.259865e-03
1.350000e-01 1.866421e-02 1.420862e-02 4.455589e-03
1.362500e-01 1.980822e-02 1.515087e-02 4.657346e-03
1.375000e-01 2.101285e-02 1.614772e-02 4.865132e-03
1.387500e-01 2.228067e-02 1.720175e-02 5.078923e-03
1.400000e-01 2.361432e-02 1.831564e-02 5.298683e-03
1.412500e-01 2.501649e-02 1.949214e-02 5.524358e-03
1.425000e-01 2.648996e-02 2.073408e-02 5.755876e-03
1.437500e-01 2.803753e-02 2.204439e-02 5.993147e-03
1.450000e-01 2.966212e-02 2.342606e-02 6.236060e-03
1.462500e-01 3.136666e-02 2.488218e-02 6.484486e-03
1.475000e-01 3.315418e-02 2.641590e-02 6.738274e-03
1.487500e-01 3.502773e-02 2.803048e-02 6.997251e-03
1.500000e-01 3.699044e-02 2.972922e-02 7.261221e-03
1.512500e-01 3.904548e-02 3.151551e-02 7.529964e-03
1.525000e-01 4.119607e-02 3.339283e-02 7.803237e-03
1.537500e-01 4.344548e-02 3.536470e-02 8.080772e-03
1.550000e-01 4.579701e-02 3.743474e-02 8.362274e-03
1.562500e-01 4.825401e-02 3.960659e-02 8.647423e-03
1.575000e-01 5.081987e-02 4.188399e-02 8.935872e-03
1.587500e-01 5.349797e-02 4.427073e-02 9.227247e-03
1.600000e-01 5.629177e-02 4.677062e-02 9.521146e-03
1.612500e-01 5.920470e-02 4.938756e-02 9.817138e-03
1.625000e-01 6.224024e-02 5.212547e-02 1.011477e-02
1.637500e-01 6.540185e-02 5.498830e-02 1.041354e-02
1.650000e-01 6.869301e-02 5.798005e-02 1.071295e-02
1.662500e-01 7.211718e-02 6.110473e-02 1.101246e-02
1.675000e-01 7.567784e-02 6.436637e-02 1.131147e-02
1.687500e-01 7.937841e-02 6.776900e-02 1.160941e-02
1.700000e-01 8.322231e-02 7.131668e-02 1.190563e-02
1.712500e-01 8.721293e-02 7.501345e-02 1.219948e-02
1.725000e-01 9.135361e-02 7.886332e-02 1.249029e-02
1.737500e-01 9.564763e-02 8.287030e-02 1.277733e-02
1.750000e-01 1.000982e-01 8.703837e-02 1.305987e-02
1.762500e-01 1.047086e-01 9.137145e-02 1.333715e-02
1.775000e-01 1.094818e-01 9.587341e-02 1.360838e-02
1.787500e-01 1.144209e-01 1.005481e-01 1.387277e-02
1.800000e-01 1.195287e-01 1.053992e-01 1.412947e-02
1.812500e-01 1.248081e-01 1.104305e-01 1.437764e-02
1.825000e-01 1.302618e-01 1.156454e-01 1.461641e-02
1.837500e-01 1.358924e-01 1.210475e-01 1.484489e-02
1.850000e-01 1.417023e-01 1.266401e-01 1.506219e-02
1.862500e-01 1.476938e-01 1.324264e-01 1.526739e-02
1.875000e-01 1.538690e-01 1.384094e-01 1.545956e-02
1.887500e-01 1.602300e-01 1.445922e-01 1.563778e-02
1.900000e-01 1.667785e-01 1.509774e-01 1.580109e-02
1.912500e-01 1.735162e-01 1.575676e-01 1.594855e-02
1.925000e-01 1.804445e-01 1.643653e-01 1.607922e-02
1.937500e-01 1.875646e-01 1.713725e-01 1.619214e-02
1.950000e-01 1.948775e-01 1.785911e-01 1.628638e-02
1.962500e-01 2.023840e-01 1.860230e-01 1.636099e-02
1.975000e-01 2.100847e-01 1.936696e-01 1.641506e-02
1.987500e-01 2.179797e-01 2.015321e-01 1.644765e-02
2.000000e-01 2.260693e-01 2.096114e-01 1.645788e-02
2.012500e-01 2.343530e-01 2.179081e-01 1.644486e-02
2.025000e-01 2.428304e-01 2.264227e-01 1.640772e-02
2.037500e-01 2.515008e-01 2.351552e-01 1.634565e-02
2.050000e-01 2.603630e-01 2.441051e-01 1.625783e-02
2.062500e-01 2.694155e-01 2.532721e-01 1.614348e-02
2.075000e-01 2.786568e-01 2.626550e-01 1.600187e-02
2.087500e-01 2.880848e-01 2.722525e-01 1.583229e-02
2.100000e-01 2.976971e-01 2.820630e-01 1.563410e-02
2.112500e-01 3.074910e-01 2.920843e-01 1.540667e-02
2.125000e-01 3.174635e-01 3.023140e-01 1.514945e-02
2.137500e-01 3.276112e-01 3.127493e-01 1.486192e-02
2.150000e-01 3.379304e-01 3.233868e-01 1.454363e-02
2.162500e-01 3.484170e-01 3.342229e-01 1.419417e-02
2.175000e-01 3.590666e-01 3.452534e-01 1.381322e-02
2.187500e-01 3.698744e-01 3.564739e-01 1.340050e-02
2.200000e-01 3.808352e-01 3.678794e-01 1.295580e-02
2.212500e-01 3.919435e-01 3.794645e-01 1.247900e-02
2.225000e-01 4.031934e-01 3.912234e-01 1.197002e-02
2.237500e-01 4.145786e-01 4.031497e-01 1.142889e-02
2.250000e-01 4.260925e-01 4.152368e-01 1.085569e-02
2.262500e-01 4.377281e-01 4.274775e-01 1.025059e-02
2.275000e-01 4.494781e-01 4.398643e-01 9.613842e-03
2.287500e-01 4.613348e-01 4.523890e-01 8.945781e-03
2.300000e-01 4.732900e-01 4.650432e-01 8.246820e-03
