Number of cells = 400
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 9.959674e-03
Root mean square error = 1.954007e-02

Wall time = 4.623800e-03 seconds

              x  Numerical_solution      Exact_solution               Error
   1.100000e-01        7.159509e-03        3.550649e-03        3.608860e-03
   1.125000e-01        8.128600e-03        4.114804e-03        4.013796e-03
   1.150000e-01        9.213446e-03        4.759293e-03        4.454153e-03
   1.175000e-01        1.042563e-02        5.493984e-03        4.931642e-03
   1.200000e-01        1.177758e-02        6.329715e-03        5.447860e-03
   1.225000e-01        1.328260e-02        7.278347e-03        6.004256e-03
   1.250000e-01        1.495491e-02        8.352819e-03        6.602095e-03
   1.275000e-01        1.680962e-02        9.567206e-03        7.242417e-03
   1.300000e-01        1.886276e-02        1.093677e-02        7.925995e-03
   1.325000e-01        2.113128e-02        1.247799e-02        8.653289e-03
   1.350000e-01        2.363302e-02        1.420862e-02        9.424402e-03
   1.375000e-01        2.638674e-02        1.614772e-02        1.023903e-02
   1.400000e-01        2.941204e-02        1.831564e-02        1.109640e-02
   1.425000e-01        3.272934e-02        2.073408e-02        1.199526e-02
   1.450000e-01        3.635985e-02        2.342606e-02        1.293379e-02
   1.475000e-01        4.032547e-02        2.641590e-02        1.390956e-02
   1.500000e-01        4.464874e-02        2.972922e-02        1.491952e-02
   1.525000e-01        4.935276e-02        3.339283e-02        1.595993e-02
   1.550000e-01        5.446103e-02        3.743474e-02        1.702630e-02
   1.575000e-01        5.999741e-02        4.188399e-02        1.811342e-02
   1.600000e-01        6.598591e-02        4.677062e-02        1.921528e-02
   1.625000e-01        7.245058e-02        5.212547e-02        2.032511e-02
   1.650000e-01        7.941535e-02        5.798005e-02        2.143529e-02
   1.675000e-01        8.690380e-02        6.436637e-02        2.253743e-02
   1.700000e-01        9.493903e-02        7.131668e-02        2.362234e-02
   1.725000e-01        1.035434e-01        7.886332e-02        2.468007e-02
   1.750000e-01        1.127383e-01        8.703837e-02        2.569993e-02
   1.775000e-01        1.225440e-01        9.587341e-02        2.667055e-02
   1.800000e-01        1.329792e-01        1.053992e-01        2.757996e-02
   1.825000e-01        1.440611e-01        1.156454e-01        2.841565e-02
   1.850000e-01        1.558047e-01        1.266401e-01        2.916465e-02
   1.875000e-01        1.682231e-01        1.384094e-01        2.981367e-02
   1.900000e-01        1.813266e-01        1.509774e-01        3.034919e-02
   1.925000e-01        1.951229e-01        1.643653e-01        3.075763e-02
   1.950000e-01        2.096166e-01        1.785911e-01        3.102544e-02
   1.975000e-01        2.248090e-01        1.936696e-01        3.113933e-02
   2.000000e-01        2.406978e-01        2.096114e-01        3.108639e-02
   2.025000e-01        2.572770e-01        2.264227e-01        3.085426e-02
   2.050000e-01        2.745365e-01        2.441051e-01        3.043137e-02
   2.075000e-01        2.924620e-01        2.626550e-01        2.980706e-02
   2.100000e-01        3.110348e-01        2.820630e-01        2.897180e-02
   2.125000e-01        3.302314e-01        3.023140e-01        2.791741e-02
   2.150000e-01        3.500239e-01        3.233868e-01        2.663716e-02
   2.175000e-01        3.703794e-01        3.452534e-01        2.512602e-02
   2.200000e-01        3.912603e-01        3.678794e-01        2.338081e-02
   2.225000e-01        4.126237e-01        3.912234e-01        2.140033e-02
   2.250000e-01        4.344223e-01        4.152368e-01        1.918550e-02
   2.275000e-01        4.566038e-01        4.398643e-01        1.673949e-02
   2.300000e-01        4.791110e-01        4.650432e-01        1.406781e-02
   2.325000e-01        5.018824e-01        4.907041e-01        1.117838e-02
   2.350000e-01        5.248521e-01        5.167706e-01        8.081544e-03
   2.375000e-01        5.479500e-01        5.431599e-01        4.790109e-03
   2.400000e-01        5.711021e-01        5.697828e-01        1.319317e-03
   2.425000e-01        5.942312e-01        5.965444e-01       -2.313216e-03
   2.450000e-01        6.172567e-01        6.233443e-01       -6.087584e-03
   2.475000e-01        6.400955e-01        6.500773e-01       -9.981712e-03
   2.500000e-01        6.626623e-01        6.766338e-01       -1.397151e-02
   2.525000e-01        6.848700e-01        7.029011e-01       -1.803107e-02
   2.550000e-01        7.066305e-01        7.287633e-01       -2.213286e-02
   2.575000e-01        7.278548e-01        7.541028e-01       -2.624801e-02
   2.600000e-01        7.484542e-01        7.788008e-01       -3.034656e-02
   2.625000e-01        7.683405e-01        8.027383e-01       -3.439773e-02
   2.650000e-01        7.874267e-01        8.257970e-01       -3.837032e-02
   2.675000e-01        8.056276e-01        8.478606e-01       -4.223294e-02
   2.700000e-01        8.228606e-01        8.688151e-01       -4.595445e-02
   2.725000e-01        8.390460e-01        8.885503e-01       -4.950423e-02
   2.750000e-01        8.541080e-01        9.069606e-01       -5.285259e-02
   2.775000e-01        8.679750e-01        9.239461e-01       -5.597106e-02
   2.800000e-01        8.805803e-01        9.394131e-01       -5.883279e-02
   2.825000e-01        8.918625e-01        9.532753e-01       -6.141283e-02
   2.850000e-01        9.017661e-01        9.654546e-01       -6.368844e-02
   2.875000e-01        9.102422e-01        9.758816e-01       -6.563940e-02
   2.900000e-01        9.172482e-01        9.844964e-01       -6.724822e-02
   2.925000e-01        9.227491e-01        9.912494e-01       -6.850039e-02
   2.950000e-01        9.267168e-01        9.961014e-01       -6.938455e-02
   2.975000e-01        9.291313e-01        9.990239e-01       -6.989263e-02
   3.000000e-01        9.299800e-01        1.000000e+00       -7.001998e-02
   3.025000e-01        9.292585e-01        9.990239e-01       -6.976539e-02
   3.050000e-01        9.269702e-01        9.961014e-01       -6.913114e-02
   3.075000e-01        9.231265e-01        9.912494e-01       -6.812294e-02
   3.100000e-01        9.177465e-01        9.844964e-01       -6.674991e-02
   3.125000e-01        9.108572e-01        9.758816e-01       -6.502439e-02
   3.150000e-01        9.024927e-01        9.654546e-01       -6.296185e-02
   3.175000e-01        8.926946e-01        9.532753e-01       -6.058066e-02
   3.200000e-01        8.815112e-01        9.394131e-01       -5.790188e-02
   3.225000e-01        8.689971e-01        9.239461e-01       -5.494897e-02
   3.250000e-01        8.552131e-01        9.069606e-01       -5.174754e-02
   3.275000e-01        8.402252e-01        8.885503e-01       -4.832502e-02
   3.300000e-01        8.241047e-01        8.688151e-01       -4.471032e-02
   3.325000e-01        8.069271e-01        8.478606e-01       -4.093352e-02
   3.350000e-01        7.887716e-01        8.257970e-01       -3.702548e-02
   3.375000e-01        7.697208e-01        8.027383e-01       -3.301751e-02
   3.400000e-01        7.498597e-01        7.788008e-01       -2.894105e-02
   3.425000e-01        7.292756e-01        7.541028e-01       -2.482725e-02
   3.450000e-01        7.080566e-01        7.287633e-01       -2.070673e-02
   3.475000e-01        6.862919e-01        7.029011e-01       -1.660922e-02
   3.500000e-01        6.640706e-01        6.766338e-01       -1.256325e-02
   3.525000e-01        6.414813e-01        6.500773e-01       -8.595941e-03
   3.550000e-01        6.186116e-01        6.233443e-01       -4.732712e-03
   3.575000e-01        5.955473e-01        5.965444e-01       -9.970956e-04
   3.600000e-01        5.723723e-01        5.697828e-01        2.589446e-03
   3.625000e-01        5.491676e-01        5.431599e-01        6.007670e-03
   3.650000e-01        5.260112e-01        5.167706e-01        9.240659e-03
   3.675000e-01        5.029780e-01        4.907041e-01        1.227391e-02
   3.700000e-01        4.801385e-01        4.650432e-01        1.509535e-02
   3.725000e-01        4.575597e-01        4.398643e-01        1.769541e-02
   3.750000e-01        4.353037e-01        4.152368e-01        2.006691e-02
   3.775000e-01        4.134285e-01        3.912234e-01        2.220513e-02
   3.800000e-01        3.919870e-01        3.678794e-01        2.410761e-02
   3.825000e-01        3.710276e-01        3.452534e-01        2.577414e-02
   3.850000e-01        3.505934e-01        3.233868e-01        2.720661e-02
   3.875000e-01        3.307228e-01        3.023140e-01        2.840884e-02
   3.900000e-01        3.114494e-01        2.820630e-01        2.938648e-02
   3.925000e-01        2.928017e-01        2.626550e-01        3.014679e-02
   3.950000e-01        2.748036e-01        2.441051e-01        3.069847e-02
   3.975000e-01        2.574742e-01        2.264227e-01        3.105151e-02
   4.000000e-01        2.408283e-01        2.096114e-01        3.121694e-02
   4.025000e-01        2.248763e-01        1.936696e-01        3.120670e-02
   4.050000e-01        2.096245e-01        1.785911e-01        3.103340e-02
   4.075000e-01        1.950755e-01        1.643653e-01        3.071020e-02
   4.100000e-01        1.812280e-01        1.509774e-01        3.025058e-02
   4.125000e-01        1.680776e-01        1.384094e-01        2.966816e-02
   4.150000e-01        1.556167e-01        1.266401e-01        2.897664e-02
   4.175000e-01        1.438349e-01        1.156454e-01        2.818953e-02
   4.200000e-01        1.327193e-01        1.053992e-01        2.732011e-02
   4.225000e-01        1.222547e-01        9.587341e-02        2.638128e-02
   4.250000e-01        1.124238e-01        8.703837e-02        2.538544e-02
   4.275000e-01        1.032078e-01        7.886332e-02        2.434446e-02
   4.300000e-01        9.458620e-02        7.131668e-02        2.326952e-02
   4.325000e-01        8.653749e-02        6.436637e-02        2.217112e-02
   4.350000e-01        7.903907e-02        5.798005e-02        2.105901e-02
   4.375000e-01        7.206763e-02        5.212547e-02        1.994216e-02
   4.400000e-01        6.559935e-02        4.677062e-02        1.882873e-02
   4.425000e-01        5.961006e-02        4.188399e-02        1.772607e-02
   4.450000e-01        5.407546e-02        3.743474e-02        1.664072e-02
   4.475000e-01        4.897127e-02        3.339283e-02        1.557844e-02
   4.500000e-01        4.427341e-02        2.972922e-02        1.454419e-02
   4.525000e-01        3.995811e-02        2.641590e-02        1.354220e-02
   4.550000e-01        3.600203e-02        2.342606e-02        1.257597e-02
   4.575000e-01        3.238242e-02        2.073408e-02        1.164834e-02
   4.600000e-01        2.907713e-02        1.831564e-02        1.076149e-02
   4.625000e-01        2.606476e-02        1.614772e-02        9.917042e-03
   4.650000e-01        2.332468e-02        1.420862e-02        9.116058e-03
   4.675000e-01        2.083711e-02        1.247799e-02        8.359118e-03
   4.700000e-01        1.858312e-02        1.093677e-02        7.646356e-03
   4.725000e-01        1.654472e-02        9.567206e-03        6.977518e-03
   4.750000e-01        1.470482e-02        8.352819e-03        6.352003e-03
   4.775000e-01        1.304726e-02        7.278347e-03        5.768912e-03
   4.800000e-01        1.155681e-02        6.329715e-03        5.227095e-03
   4.825000e-01        1.021917e-02        5.493984e-03        4.725190e-03
   4.850000e-01        9.020957e-03        4.759293e-03        4.261665e-03
   4.875000e-01        7.949656e-03        4.114804e-03        3.834852e-03
   4.900000e-01        6.993633e-03        3.550649e-03        3.442984e-03
   4.925000e-01        6.142088e-03        3.057863e-03        3.084225e-03
   4.950000e-01        5.385026e-03        2.628331e-03        2.756695e-03
   4.975000e-01        4.713224e-03        2.254727e-03        2.458497e-03
   5.000000e-01        4.118193e-03        1.930454e-03        2.187739e-03
   5.025000e-01        3.592143e-03        1.649593e-03        1.942550e-03
   5.050000e-01        3.127942e-03        1.406844e-03        1.721098e-03
   5.075000e-01        2.719079e-03        1.197476e-03        1.521603e-03
   5.100000e-01        2.359625e-03        1.017278e-03        1.342347e-03
   5.125000e-01        2.044194e-03        8.625098e-04        1.181684e-03
   5.150000e-01        1.767905e-03        7.298611e-04        1.038044e-03
   5.175000e-01        1.526347e-03        6.164079e-04        9.099392e-04
   5.200000e-01        1.315544e-03        5.195747e-04        7.959692e-04
   5.225000e-01        1.131918e-03        4.370987e-04        6.948189e-04
   5.250000e-01        9.722583e-04        3.669972e-04        6.052611e-04
   5.275000e-01        8.336923e-04        3.075373e-04        5.261550e-04
   5.300000e-01        7.136529e-04        2.572081e-04        4.564448e-04
   5.325000e-01        6.098533e-04        2.146957e-04        3.951576e-04
   5.350000e-01        5.202602e-04        1.788602e-04        3.414001e-04
   5.375000e-01        4.430704e-04        1.487153e-04        2.943551e-04
   5.400000e-01        3.766879e-04        1.234098e-04        2.532781e-04
   5.425000e-01        3.197033e-04        1.022105e-04        2.174929e-04
   5.450000e-01        2.708752e-04        8.448756e-05        1.863876e-04
   5.475000e-01        2.291119e-04        6.970148e-05        1.594104e-04
   5.500000e-01        1.934561e-04        5.739089e-05        1.360653e-04
   5.525000e-01        1.630698e-04        4.716238e-05        1.159074e-04
   5.550000e-01        1.372211e-04        3.868122e-05        9.853985e-05
   5.575000e-01        1.152721e-04        3.166332e-05        8.360873e-05
   5.600000e-01        9.666810e-05        2.586810e-05        7.080000e-05
   5.625000e-01        8.092789e-05        2.109232e-05        5.983557e-05
   5.650000e-01        6.763460e-05        1.716469e-05        5.046991e-05
   5.675000e-01        5.642808e-05        1.394117e-05        4.248690e-05
   5.700000e-01        4.699775e-05        1.130094e-05        3.569682e-05
   5.725000e-01        3.907639e-05        9.142844e-06        2.993354e-05
   5.750000e-01        3.243448e-05        7.382441e-06        2.505204e-05
   5.775000e-01        2.687539e-05        5.949362e-06        2.092603e-05
   5.800000e-01        2.223093e-05        4.785117e-06        1.744582e-05
   5.825000e-01        1.835759e-05        3.841197e-06        1.451639e-05
   5.850000e-01        1.513312e-05        3.077459e-06        1.205566e-05
   5.875000e-01        1.245363e-05        2.460763e-06        9.992870e-06
   5.900000e-01        1.023101e-05        1.963808e-06        8.267199e-06
   5.925000e-01        8.390645e-06        1.564156e-06        6.826489e-06
   5.950000e-01        6.869526e-06        1.243406e-06        5.626120e-06
   5.975000e-01        5.614519e-06        9.865009e-07        4.628018e-06
   6.000000e-01        4.580920e-06        7.811489e-07        3.799771e-06
   6.025000e-01        3.731187e-06        6.173365e-07        3.113850e-06
   6.050000e-01        3.033859e-06        4.869247e-07        2.546934e-06
   6.075000e-01        2.462622e-06        3.833130e-07        2.079309e-06
   6.100000e-01        1.995511e-06        3.011597e-07        1.694351e-06
   6.125000e-01        1.614225e-06        2.361523e-07        1.378073e-06
   6.150000e-01        1.303550e-06        1.848158e-07        1.118734e-06
   6.175000e-01        1.050860e-06        1.443570e-07        9.065035e-07
   6.200000e-01        8.456990e-07        1.125352e-07        7.331638e-07
   6.225000e-01        6.794225e-07        8.755694e-08        5.918656e-07
   6.250000e-01        5.449007e-07        6.798993e-08        4.769107e-07
   6.275000e-01        4.362625e-07        5.269269e-08        3.835698e-07
   6.300000e-01        3.486836e-07        4.075754e-08        3.079261e-07
   6.325000e-01        2.782070e-07        3.146424e-08        2.467428e-07
   6.350000e-01        2.215938e-07        2.424256e-08        1.973512e-07
   6.375000e-01        1.761975e-07        1.864195e-08        1.575556e-07
   6.400000e-01        1.398604e-07        1.430724e-08        1.255531e-07
   6.425000e-01        1.108261e-07        1.095904e-08        9.986706e-08
   6.450000e-01        8.766816e-08        8.378003e-09        7.929016e-08
   6.475000e-01        6.922996e-08        6.392349e-09        6.283762e-08
   6.500000e-01        5.457561e-08        4.867794e-09        4.970781e-08
   6.525000e-01        4.294921e-08        3.699608e-09        3.924960e-08
   6.550000e-01        3.374145e-08        2.806280e-09        3.093517e-08
   6.575000e-01        2.646210e-08        2.124506e-09        2.433760e-08
   6.600000e-01        2.071747e-08        1.605228e-09        1.911224e-08
   6.625000e-01        1.619202e-08        1.210507e-09        1.498151e-08
   6.650000e-01        1.263330e-08        9.110656e-10        1.172223e-08
   6.675000e-01        9.839748e-09        6.843586e-10        9.155389e-09
   6.700000e-01        7.650727e-09        5.130617e-10        7.137665e-09
   6.725000e-01        5.938445e-09        3.838904e-10        5.554555e-09
   6.750000e-01        4.601443e-09        2.866795e-10        4.314763e-09
   6.775000e-01        3.559315e-09        2.136672e-10        3.345648e-09
   6.800000e-01        2.748462e-09        1.589391e-10        2.589523e-09
   6.825000e-01        2.118674e-09        1.179982e-10        2.000676e-09
   6.850000e-01        1.630382e-09        8.743231e-11        1.542949e-09
   6.875000e-01        1.252464e-09        6.465769e-11        1.187806e-09
   6.900000e-01        9.604871e-10        4.772217e-11        9.127650e-10
   6.925000e-01        7.353067e-10        3.515378e-11        7.001529e-10
   6.950000e-01        5.619477e-10        2.584494e-11        5.361027e-10
   6.975000e-01        4.287198e-10        1.896404e-11        4.097558e-10
   7.000000e-01        3.265137e-10        1.388794e-11        3.126257e-10
   7.025000e-01        2.482443e-10        1.015072e-11        2.380936e-10
   7.050000e-01        1.884115e-10        7.404699e-12        1.810068e-10
   7.075000e-01        1.427530e-10        5.391006e-12        1.373620e-10
   7.100000e-01        1.079724e-10        3.917274e-12        1.040551e-10
   7.125000e-01        8.152487e-11        2.840861e-12        7.868401e-11
   7.150000e-01        6.144931e-11        2.056211e-12        5.939310e-11
   7.175000e-01        4.623740e-11        1.485378e-12        4.475202e-11
   7.200000e-01        3.473115e-11        1.070923e-12        3.366023e-11
   7.225000e-01        2.604319e-11        7.706042e-13        2.527259e-11
   7.250000e-01        1.949479e-11        5.534216e-13        1.894136e-11
   7.275000e-01        1.456773e-11        3.966730e-13        1.417105e-11
   7.300000e-01        1.086711e-11        2.837664e-13        1.058334e-11
   7.325000e-01        8.092547e-12        2.026008e-13        7.889946e-12
   7.350000e-01        6.015963e-12        1.443687e-13        5.871594e-12
   7.375000e-01        4.464509e-12        1.026731e-13        4.361836e-12
   7.400000e-01        3.307432e-12        7.287724e-14        3.234555e-12
   7.425000e-01        2.446000e-12        5.162726e-14        2.394373e-12
   7.450000e-01        1.805804e-12        3.650211e-14        1.769301e-12
   7.475000e-01        1.330861e-12        2.575780e-14        1.305103e-12
   7.500000e-01        9.791363e-13        1.814058e-14        9.609957e-13
   7.525000e-01        7.191204e-13        1.275103e-14        7.063693e-13
   7.550000e-01        5.272396e-13        8.945227e-15        5.182943e-13
   7.575000e-01        3.858889e-13        6.263097e-15        3.796258e-13
   7.600000e-01        2.819449e-13        4.376619e-15        2.775683e-13
   7.625000e-01        2.056430e-13        3.052390e-15        2.025906e-13
   7.650000e-01        1.497308e-13        2.124678e-15        1.476061e-13
   7.675000e-01        1.088318e-13        1.476039e-15        1.073557e-13
   7.700000e-01        7.896738e-14        1.023421e-15        7.794396e-14
   7.725000e-01        5.719881e-14        7.082114e-16        5.649059e-14
   7.750000e-01        4.135931e-14        4.891286e-16        4.087019e-14
   7.775000e-01        2.985429e-14        3.371592e-16        2.951713e-14
   7.800000e-01        2.151231e-14        2.319523e-16        2.128036e-14
   7.825000e-01        1.547441e-14        1.592627e-16        1.531515e-14
   7.850000e-01        1.111189e-14        1.091393e-16        1.100276e-14
   7.875000e-01        7.965419e-15        7.464493e-17        7.890774e-15
   7.900000e-01        5.700011e-15        5.095315e-17        5.649058e-15
   7.925000e-01        4.071826e-15        3.471312e-17        4.037113e-15
   7.950000e-01        2.903682e-15        2.360304e-17        2.880078e-15
   7.975000e-01        2.067069e-15        1.601747e-17        2.051052e-15
   8.000000e-01        1.468951e-15        1.084855e-17        1.458102e-15
   8.025000e-01        1.042090e-15        7.333333e-18        1.034757e-15
   8.050000e-01        7.379885e-16        4.947465e-18        7.330411e-16
   8.075000e-01        5.217230e-16        3.331317e-18        5.183917e-16
   8.100000e-01        3.681943e-16        2.238725e-18        3.659556e-16
   8.125000e-01        2.593958e-16        1.501542e-18        2.578943e-16
   8.150000e-01        1.824333e-16        1.005139e-18        1.814281e-16
   8.175000e-01        1.280914e-16        6.715311e-19        1.274199e-16
   8.200000e-01        8.979881e-17        4.477732e-19        8.935104e-17
   8.225000e-01        6.288317e-17        2.979901e-19        6.258518e-17
   8.250000e-01        4.403944e-17        1.979235e-19        4.384152e-17
   8.275000e-01        3.095591e-17        1.312033e-19        3.082471e-17
   8.300000e-01        2.206277e-17        8.680480e-20        2.197597e-17
   8.325000e-01        1.638455e-17        5.731847e-20        1.632723e-17
   8.350000e-01        1.349755e-17        3.777437e-20        1.345978e-17
   8.375000e-01        1.361971e-17        2.484572e-20        1.359486e-17
   8.400000e-01        1.790201e-17        1.631014e-20        1.788570e-17
   8.425000e-01        2.906233e-17        1.068601e-20        2.905165e-17
   8.450000e-01        5.262711e-17        6.987555e-21        5.262013e-17
   8.475000e-01        9.926656e-17        4.560229e-21        9.926200e-17
   8.500000e-01        1.890953e-16        2.970297e-21        1.890923e-16
   8.525000e-01        3.594821e-16        1.930923e-21        3.594801e-16
   8.550000e-01        6.790687e-16        1.252800e-21        6.790675e-16
   8.575000e-01        1.272671e-15        8.112414e-22        1.272670e-15
   8.600000e-01        2.365053e-15        5.242886e-22        2.365053e-15
   8.625000e-01        4.357104e-15        3.381757e-22        4.357104e-15
   8.650000e-01        7.957046e-15        2.177039e-22        7.957045e-15
   8.675000e-01        1.440414e-14        1.398756e-22        1.440414e-14
   8.700000e-01        2.584620e-14        8.969520e-23        2.584620e-14
   8.725000e-01        4.597002e-14        5.740481e-23        4.597002e-14
   8.750000e-01        8.104345e-14        3.666732e-23        8.104345e-14
   8.775000e-01        1.416197e-13        2.337555e-23        1.416197e-13
   8.800000e-01        2.452957e-13        1.487292e-23        2.452957e-13
   8.825000e-01        4.211291e-13        9.444577e-24        4.211291e-13
   8.850000e-01        7.166366e-13        5.985776e-24        7.166366e-13
   8.875000e-01        1.208763e-12        3.786258e-24        1.208763e-12
   8.900000e-01        2.020889e-12        2.390296e-24        2.020889e-12
   8.925000e-01        3.348918e-12        1.506069e-24        3.348918e-12
   8.950000e-01        5.500857e-12        9.470873e-25        5.500857e-12
   8.975000e-01        8.956192e-12        5.944110e-25        8.956192e-12
   9.000000e-01        1.445402e-11        3.723363e-25        1.445402e-11
   9.025000e-01        2.312237e-11        2.327747e-25        2.312237e-11
   9.050000e-01        3.666585e-11        1.452405e-25        3.666585e-11
   9.075000e-01        5.763499e-11        9.044649e-26        5.763499e-11
   9.100000e-01        8.980826e-11        5.621438e-26        8.980826e-11
   9.125000e-01        1.387281e-10        3.487023e-26        1.387281e-10
   9.150000e-01        2.124445e-10        2.158808e-26        2.124445e-10
   9.175000e-01        3.225342e-10        1.333905e-26        3.225342e-10
   9.200000e-01        4.854833e-10        8.225981e-27        4.854833e-10
   9.225000e-01        7.245401e-10        5.062933e-27        7.245401e-10
   9.250000e-01        1.072172e-09        3.110058e-27        1.072172e-09
   9.275000e-01        1.573284e-09        1.906718e-27        1.573284e-09
   9.300000e-01        2.289397e-09        1.166692e-27        2.289397e-09
   9.325000e-01        3.303997e-09        7.124885e-28        3.303997e-09
   9.350000e-01        4.729336e-09        4.342613e-28        4.729336e-09
   9.375000e-01        6.714963e-09        2.641656e-28        6.714963e-09
   9.400000e-01        9.458347e-09        1.603811e-28        9.458347e-09
   9.425000e-01        1.321796e-08        9.718110e-29        1.321796e-08
   9.450000e-01        1.832928e-08        5.877088e-29        1.832928e-08
   9.475000e-01        2.522417e-08        3.547271e-29        2.522417e-08
   9.500000e-01        3.445422e-08        2.136871e-29        3.445422e-08
   9.525000e-01        4.671871e-08        1.284736e-29        4.671871e-08
   9.550000e-01        6.289791e-08        7.709062e-30        6.289791e-08
   9.575000e-01        8.409256e-08        4.616797e-30        8.409256e-08
   9.600000e-01        1.116707e-07        2.759509e-30        1.116707e-07
   9.625000e-01        1.473231e-07        1.646170e-30        1.473231e-07
   9.650000e-01        1.931286e-07        9.800973e-31        1.931286e-07
   9.675000e-01        2.516316e-07        5.823921e-31        2.516316e-07
   9.700000e-01        3.259341e-07        3.453931e-31        3.259341e-07
   9.725000e-01        4.198046e-07        2.044389e-31        4.198046e-07
   9.750000e-01        5.378076e-07        1.207717e-31        5.378076e-07
   9.775000e-01        6.854584e-07        7.120631e-32        6.854584e-07
   9.800000e-01        8.694062e-07        4.190093e-32        8.694062e-07
   9.825000e-01        1.097654e-06        2.460824e-32        1.097654e-06
   9.850000e-01        1.379821e-06        1.442412e-32        1.379821e-06
   9.875000e-01        1.727450e-06        8.438200e-33        1.727450e-06
   9.900000e-01        2.154379e-06        4.926767e-33        2.154379e-06
   9.925000e-01        2.677179e-06        2.870953e-33        2.677179e-06
   9.950000e-01        3.315669e-06        1.669713e-33        3.315669e-06
   9.975000e-01        4.093526e-06        9.691911e-34        4.093526e-06
