Number of cells = 400
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 9.959674e-03
Root mean square error = 1.954007e-02

Wall time = 4.623800e-03 seconds

              x  Numerical_solution      Exact_solution               Error
   0.000000e+00        5.038997e-06        7.811489e-07        4.257848e-06
   2.500000e-03        6.185739e-06        9.865009e-07        5.199238e-06
   5.000000e-03        7.573790e-06        1.243406e-06        6.330384e-06
   7.500000e-03        9.250704e-06        1.564156e-06        7.686548e-06
   1.000000e-02        1.127287e-05        1.963808e-06        9.309058e-06
   1.250000e-02        1.370701e-05        2.460763e-06        1.124624e-05
   1.500000e-02        1.663196e-05        3.077459e-06        1.355450e-05
   1.750000e-02        2.014066e-05        3.841197e-06        1.629946e-05
   2.000000e-02        2.434246e-05        4.785117e-06        1.955735e-05
   2.250000e-02        2.936578e-05        5.949362e-06        2.341642e-05
   2.500000e-02        3.536108e-05        7.382441e-06        2.797864e-05
   2.750000e-02        4.250434e-05        9.142844e-06        3.336150e-05
   3.000000e-02        5.100092e-05        1.130094e-05        3.969998e-05
   3.250000e-02        6.108997e-05        1.394117e-05        4.714880e-05
   3.500000e-02        7.304944e-05        1.716469e-05        5.588475e-05
   3.750000e-02        8.720169e-05        2.109232e-05        6.610937e-05
   4.000000e-02        1.039198e-04        2.586810e-05        7.805173e-05
   4.250000e-02        1.236348e-04        3.166332e-05        9.197146e-05
   4.500000e-02        1.468432e-04        3.868122e-05        1.081620e-04
   4.750000e-02        1.741165e-04        4.716238e-05        1.269541e-04
   5.000000e-02        2.061102e-04        5.739089e-05        1.487194e-04
   5.250000e-02        2.435757e-04        6.970148e-05        1.738742e-04
   5.500000e-02        2.873712e-04        8.448756e-05        2.028836e-04
   5.750000e-02        3.384760e-04        1.022105e-04        2.362655e-04
   6.000000e-02        3.980046e-04        1.234098e-04        2.745948e-04
   6.250000e-02        4.672226e-04        1.487153e-04        3.185073e-04
   6.500000e-02        5.475644e-04        1.788602e-04        3.687042e-04
   6.750000e-02        6.406519e-04        2.146957e-04        4.259563e-04
   7.000000e-02        7.483152e-04        2.572081e-04        4.911071e-04
   7.250000e-02        8.726146e-04        3.075373e-04        5.650773e-04
   7.500000e-02        1.015864e-03        3.669972e-04        6.488672e-04
   7.750000e-02        1.180659e-03        4.370987e-04        7.435599e-04
   8.000000e-02        1.369897e-03        5.195747e-04        8.503228e-04
   8.250000e-02        1.586817e-03        6.164079e-04        9.704093e-04
   8.500000e-02        1.835020e-03        7.298611e-04        1.105159e-03
   8.750000e-02        2.118505e-03        8.625098e-04        1.255995e-03
   9.000000e-02        2.441704e-03        1.017278e-03        1.424427e-03
   9.250000e-02        2.809515e-03        1.197476e-03        1.612039e-03
   9.500000e-02        3.227337e-03        1.406844e-03        1.820493e-03
   9.750000e-02        3.701108e-03        1.649593e-03        2.051514e-03
   1.000000e-01        4.237342e-03        1.930454e-03        2.306888e-03
   1.025000e-01        4.843170e-03        2.254727e-03        2.588444e-03
   1.050000e-01        5.526372e-03        2.628331e-03        2.898041e-03
   1.075000e-01        6.295419e-03        3.057863e-03        3.237557e-03
