0 0.00018298 7.81149e-07 0.000182199
0.01 0.000312865 1.96381e-06 0.000310901
0.02 0.000525812 4.78512e-06 0.000521027
0.03 0.000868575 1.13009e-05 0.000857274
0.04 0.00141016 2.58681e-05 0.00138429
0.05 0.00225005 5.73909e-05 0.00219266
0.06 0.00352821 0.00012341 0.0034048
0.07 0.00543664 0.000257208 0.00517943
0.08 0.00823181 0.000519575 0.00771223
0.09 0.0122468 0.00101728 0.0112295
0.1 0.0179013 0.00193045 0.0159708
0.11 0.0257071 0.00355065 0.0221564
0.12 0.0362662 0.00632972 0.0299365
0.13 0.0502576 0.0109368 0.0393208
0.14 0.0684105 0.0183156 0.0500949
0.15 0.0914612 0.0297292 0.0617319
0.16 0.120092 0.0467706 0.0733211
0.17 0.154854 0.0713167 0.0835368
0.18 0.196079 0.105399 0.0906794
0.19 0.243786 0.150977 0.0928086
0.2 0.297595 0.209611 0.0879832
0.21 0.356653 0.282063 0.0745905
0.22 0.419605 0.367879 0.0517251
0.23 0.484588 0.465043 0.0195453
0.24 0.549302 0.569783 -0.0204809
0.25 0.611111 0.676634 -0.0655228
0.26 0.667214 0.778801 -0.111587
0.27 0.714844 0.868815 -0.153971
0.28 0.751489 0.939413 -0.187924
0.29 0.77511 0.984496 -0.209386
0.3 0.784326 1 -0.215674
0.31 0.778548 0.984496 -0.205949
0.32 0.75804 0.939413 -0.181374
0.33 0.7239 0.868815 -0.144915
0.34 0.677964 0.778801 -0.100836
0.35 0.622641 0.676634 -0.0539925
0.36 0.560703 0.569783 -0.00908017
0.37 0.495052 0.465043 0.0300092
0.38 0.428503 0.367879 0.0606231
0.39 0.363579 0.282063 0.0815161
0.4 0.302375 0.209611 0.0927641
0.41 0.246465 0.150977 0.0954875
0.42 0.196872 0.105399 0.0914723
0.43 0.154095 0.0713167 0.082778
0.44 0.118175 0.0467706 0.0714047
0.45 0.0887887 0.0297292 0.0590595
0.46 0.0653487 0.0183156 0.0470331
0.47 0.0471108 0.0109368 0.0361741
0.48 0.0332633 0.00632972 0.0269336
0.49 0.0229999 0.00355065 0.0194493
0.5 0.0155725 0.00193045 0.0136421
0.51 0.0103233 0.00101728 0.00930603
0.52 0.00669977 0.000519575 0.00618019
0.53 0.00425635 0.000257208 0.00399914
0.54 0.0026467 0.00012341 0.00252329
0.55 0.0016107 5.73909e-05 0.00155331
0.56 0.000959232 2.58681e-05 0.000933364
0.57 0.000558963 1.13009e-05 0.000547662
0.58 0.000318674 4.78512e-06 0.000313889
0.59 0.000177733 1.96381e-06 0.000175769
0.6 9.69611e-05 7.81149e-07 9.61799e-05
0.61 5.17356e-05 3.0116e-07 5.14345e-05
0.62 2.69958e-05 1.12535e-07 2.68833e-05
0.63 1.37743e-05 4.07575e-08 1.37335e-05
0.64 6.87164e-06 1.43072e-08 6.85733e-06
0.65 3.35137e-06 4.86779e-09 3.3465e-06
0.66 1.59774e-06 1.60523e-09 1.59613e-06
0.67 7.44496e-07 5.13062e-10 7.43983e-07
0.68 3.39035e-07 1.58939e-10 3.38876e-07
0.69 1.5087e-07 4.77222e-11 1.50822e-07
0.7 6.55979e-08 1.38879e-11 6.5584e-08
0.71 2.78648e-08 3.91727e-12 2.78608e-08
0.72 1.15625e-08 1.07092e-12 1.15614e-08
0.73 4.68635e-09 2.83766e-13 4.68607e-09
0.74 1.85518e-09 7.28772e-14 1.8551e-09
0.75 7.17595e-10 1.81406e-14 7.17577e-10
0.76 2.72258e-10 4.37662e-15 2.72253e-10
0.77 1.04291e-10 1.02342e-15 1.0429e-10
0.78 4.83258e-11 2.31952e-16 4.83256e-11
0.79 4.56756e-11 5.09532e-17 4.56755e-11
0.8 8.99939e-11 1.08486e-17 8.99939e-11
0.81 2.17935e-10 2.23873e-18 2.17935e-10
0.82 5.34458e-10 4.47773e-19 5.34458e-10
0.83 1.28658e-09 8.68048e-20 1.28658e-09
0.84 3.02881e-09 1.63101e-20 3.02881e-09
0.85 6.9733e-09 2.9703e-21 6.9733e-09
0.86 1.57098e-08 5.24289e-22 1.57098e-08
0.87 3.46521e-08 8.96952e-23 3.46521e-08
0.88 7.48818e-08 1.48729e-23 7.48818e-08
0.89 1.5862e-07 2.3903e-24 1.5862e-07
0.9 3.29537e-07 3.72336e-25 3.29537e-07
0.91 6.71772e-07 5.62144e-26 6.71772e-07
0.92 1.3443e-06 8.22598e-27 1.3443e-06
0.93 2.64169e-06 1.16669e-27 2.64169e-06
0.94 5.09927e-06 1.60381e-28 5.09927e-06
0.95 9.67109e-06 2.13687e-29 9.67109e-06
0.96 1.80244e-05 2.75951e-30 1.80244e-05
0.97 3.30157e-05 3.45393e-31 3.30157e-05
0.98 5.9441e-05 4.19009e-32 5.9441e-05
0.99 0.000105191 4.92677e-33 0.000105191
