Number of cells = 200
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 1.863100e-02
Root mean square error = 3.598756e-02

Wall time = 2.066800e-03 seconds

              x  Numerical_solution      Exact_solution               Error
   0.000000e+00        2.249926e-05        7.811489e-07        2.171811e-05
   5.000000e-03        3.183533e-05        1.243406e-06        3.059192e-05
   1.000000e-02        4.477556e-05        1.963808e-06        4.281175e-05
   1.500000e-02        6.260400e-05        3.077459e-06        5.952654e-05
   2.000000e-02        8.702049e-05        4.785117e-06        8.223537e-05
   2.500000e-02        1.202597e-04        7.382441e-06        1.128773e-04
   3.000000e-02        1.652391e-04        1.130094e-05        1.539381e-04
   3.500000e-02        2.257402e-04        1.716469e-05        2.085755e-04
   4.000000e-02        3.066299e-04        2.586810e-05        2.807618e-04
   4.500000e-02        4.141267e-04        3.868122e-05        3.754455e-04
   5.000000e-02        5.561176e-04        5.739089e-05        4.987267e-04
   5.500000e-02        7.425317e-04        8.448756e-05        6.580442e-04
   6.000000e-02        9.857751e-04        1.234098e-04        8.623653e-04
   6.500000e-02        1.301230e-03        1.788602e-04        1.122370e-03
   7.000000e-02        1.707821e-03        2.572081e-04        1.450613e-03
   7.500000e-02        2.228645e-03        3.669972e-04        1.861647e-03
   8.000000e-02        2.891665e-03        5.195747e-04        2.372090e-03
   8.500000e-02        3.730454e-03        7.298611e-04        3.000593e-03
   9.000000e-02        4.784981e-03        1.017278e-03        3.767703e-03
   9.500000e-02        6.102413e-03        1.406844e-03        4.695569e-03
   1.000000e-01        7.737914e-03        1.930454e-03        5.807460e-03
   1.050000e-01        9.755401e-03        2.628331e-03        7.127070e-03
   1.100000e-01        1.222822e-02        3.550649e-03        8.677574e-03
   1.150000e-01        1.523970e-02        4.759293e-03        1.048041e-02
   1.200000e-01        1.888351e-02        6.329715e-03        1.255379e-02
   1.250000e-01        2.326376e-02        8.352819e-03        1.491094e-02
   1.300000e-01        2.849483e-02        1.093677e-02        1.755806e-02
   1.350000e-01        3.470078e-02        1.420862e-02        2.049216e-02
   1.400000e-01        4.201432e-02        1.831564e-02        2.369868e-02
   1.450000e-01        5.057530e-02        2.342606e-02        2.714924e-02
   1.500000e-01        6.052858e-02        2.972922e-02        3.079936e-02
   1.550000e-01        7.202137e-02        3.743474e-02        3.458663e-02
   1.600000e-01        8.519990e-02        4.677062e-02        3.842928e-02
   1.650000e-01        1.002055e-01        5.798005e-02        4.222547e-02
   1.700000e-01        1.171701e-01        7.131668e-02        4.585345e-02
   1.750000e-01        1.362112e-01        8.703837e-02        4.917286e-02
   1.800000e-01        1.574264e-01        1.053992e-01        5.202716e-02
   1.850000e-01        1.808875e-01        1.266401e-01        5.424747e-02
   1.900000e-01        2.066352e-01        1.509774e-01        5.565777e-02
   1.950000e-01        2.346726e-01        1.785911e-01        5.608142e-02
   2.000000e-01        2.649602e-01        2.096114e-01        5.534880e-02
   2.050000e-01        2.974111e-01        2.441051e-01        5.330593e-02
   2.100000e-01        3.318866e-01        2.820630e-01        4.982368e-02
   2.150000e-01        3.681937e-01        3.233868e-01        4.480695e-02
   2.200000e-01        4.060831e-01        3.678794e-01        3.820363e-02
   2.250000e-01        4.452492e-01        4.152368e-01        3.001238e-02
   2.300000e-01        4.853322e-01        4.650432e-01        2.028898e-02
   2.350000e-01        5.259210e-01        5.167706e-01        9.150416e-03
   2.400000e-01        5.665592e-01        5.697828e-01       -3.223588e-03
   2.450000e-01        6.067522e-01        6.233443e-01       -1.659208e-02
   2.500000e-01        6.459762e-01        6.766338e-01       -3.065764e-02
   2.550000e-01        6.836890e-01        7.287633e-01       -4.507429e-02
   2.600000e-01        7.193421e-01        7.788008e-01       -5.945866e-02
   2.650000e-01        7.523934e-01        8.257970e-01       -7.340360e-02
   2.700000e-01        7.823210e-01        8.688151e-01       -8.649410e-02
   2.750000e-01        8.086363e-01        9.069606e-01       -9.832435e-02
   2.800000e-01        8.308977e-01        9.394131e-01       -1.085153e-01
   2.850000e-01        8.487228e-01        9.654546e-01       -1.167317e-01
   2.900000e-01        8.617989e-01        9.844964e-01       -1.226976e-01
   2.950000e-01        8.698923e-01        9.961014e-01       -1.262090e-01
   3.000000e-01        8.728557e-01        1.000000e+00       -1.271443e-01
   3.050000e-01        8.706318e-01        9.961014e-01       -1.254695e-01
   3.100000e-01        8.632560e-01        9.844964e-01       -1.212405e-01
   3.150000e-01        8.508546e-01        9.654546e-01       -1.145999e-01
   3.200000e-01        8.336422e-01        9.394131e-01       -1.057709e-01
   3.250000e-01        8.119145e-01        9.069606e-01       -9.504614e-02
   3.300000e-01        7.860406e-01        8.688151e-01       -8.277447e-02
   3.350000e-01        7.564522e-01        8.257970e-01       -6.934482e-02
   3.400000e-01        7.236318e-01        7.788008e-01       -5.516897e-02
   3.450000e-01        6.880994e-01        7.287633e-01       -4.066393e-02
   3.500000e-01        6.503990e-01        6.766338e-01       -2.623488e-02
   3.550000e-01        6.110847e-01        6.233443e-01       -1.225962e-02
   3.600000e-01        5.707075e-01        5.697828e-01        9.246940e-04
   3.650000e-01        5.298027e-01        5.167706e-01        1.303213e-02
   3.700000e-01        4.888784e-01        4.650432e-01        2.383525e-02
   3.750000e-01        4.484060e-01        4.152368e-01        3.316921e-02
   3.800000e-01        4.088120e-01        3.678794e-01        4.093255e-02
   3.850000e-01        3.704718e-01        3.233868e-01        4.708500e-02
   3.900000e-01        3.337057e-01        2.820630e-01        5.164279e-02
   3.950000e-01        2.987769e-01        2.441051e-01        5.467175e-02
   4.000000e-01        2.658905e-01        2.096114e-01        5.627911e-02
   4.050000e-01        2.351954e-01        1.785911e-01        5.660428e-02
   4.100000e-01        2.067868e-01        1.509774e-01        5.580938e-02
   4.150000e-01        1.807101e-01        1.266401e-01        5.407001e-02
   4.200000e-01        1.569659e-01        1.053992e-01        5.156667e-02
   4.250000e-01        1.355156e-01        8.703837e-02        4.847722e-02
   4.300000e-01        1.162872e-01        7.131668e-02        4.497052e-02
   4.350000e-01        9.918158e-02        5.798005e-02        4.120153e-02
   4.400000e-01        8.407836e-02        4.677062e-02        3.730774e-02
   4.450000e-01        7.084175e-02        3.743474e-02        3.340701e-02
   4.500000e-01        5.932583e-02        2.972922e-02        2.959661e-02
   4.550000e-01        4.937936e-02        2.342606e-02        2.595330e-02
   4.600000e-01        4.084999e-02        1.831564e-02        2.253436e-02
   4.650000e-01        3.358776e-02        1.420862e-02        1.937914e-02
   4.700000e-01        2.744798e-02        1.093677e-02        1.651121e-02
   4.750000e-01        2.229346e-02        8.352819e-03        1.394064e-02
   4.800000e-01        1.799617e-02        6.329715e-03        1.166646e-02
   4.850000e-01        1.443830e-02        4.759293e-03        9.679005e-03
   4.900000e-01        1.151285e-02        3.550649e-03        7.962198e-03
   4.950000e-01        9.123846e-03        2.628331e-03        6.495515e-03
   5.000000e-01        7.186201e-03        1.930454e-03        5.255747e-03
   5.050000e-01        5.625287e-03        1.406844e-03        4.218442e-03
   5.100000e-01        4.376344e-03        1.017278e-03        3.359066e-03
   5.150000e-01        3.383742e-03        7.298611e-04        2.653881e-03
   5.200000e-01        2.600159e-03        5.195747e-04        2.080585e-03
   5.250000e-01        1.985716e-03        3.669972e-04        1.618719e-03
   5.300000e-01        1.507115e-03        2.572081e-04        1.249907e-03
   5.350000e-01        1.136803e-03        1.788602e-04        9.579428e-04
   5.400000e-01        8.521803e-04        1.234098e-04        7.287705e-04
   5.450000e-01        6.348670e-04        8.448756e-05        5.503794e-04
   5.500000e-01        4.700420e-04        5.739089e-05        4.126511e-04
   5.550000e-01        3.458524e-04        3.868122e-05        3.071712e-04
   5.600000e-01        2.528965e-04        2.586810e-05        2.270284e-04
   5.650000e-01        1.837767e-04        1.716469e-05        1.666120e-04
