Number of cells = 200
CFL = 8.000000e-01
a = 1.000000e+00

L1 error = 1.863100e-02
Root mean square error = 3.598756e-02

Wall time = 2.066800e-03 seconds

              x  Numerical_solution      Exact_solution               Error
   5.700000e-01        1.327184e-04        1.130094e-05        1.214175e-04
   5.750000e-01        9.524953e-05        7.382441e-06        8.786709e-05
   5.800000e-01        6.793331e-05        4.785117e-06        6.314820e-05
   5.850000e-01        4.814917e-05        3.077459e-06        4.507171e-05
   5.900000e-01        3.391396e-05        1.963808e-06        3.195015e-05
   5.950000e-01        2.373829e-05        1.243406e-06        2.249489e-05
   6.000000e-01        1.651199e-05        7.811489e-07        1.573084e-05
   6.050000e-01        1.141368e-05        4.869247e-07        1.092676e-05
   6.100000e-01        7.840186e-06        3.011597e-07        7.539026e-06
   6.150000e-01        5.351785e-06        1.848158e-07        5.166970e-06
   6.200000e-01        3.630282e-06        1.125352e-07        3.517747e-06
   6.250000e-01        2.447086e-06        6.798993e-08        2.379096e-06
   6.300000e-01        1.639164e-06        4.075754e-08        1.598407e-06
   6.350000e-01        1.091084e-06        2.424256e-08        1.066841e-06
   6.400000e-01        7.216948e-07        1.430724e-08        7.073875e-07
   6.450000e-01        4.743583e-07        8.378003e-09        4.659803e-07
   6.500000e-01        3.098236e-07        4.867794e-09        3.049558e-07
   6.550000e-01        2.010829e-07        2.806280e-09        1.982766e-07
   6.600000e-01        1.296839e-07        1.605228e-09        1.280787e-07
   6.650000e-01        8.310843e-08        9.110656e-10        8.219736e-08
   6.700000e-01        5.292362e-08        5.130617e-10        5.241055e-08
   6.750000e-01        3.348861e-08        2.866795e-10        3.320193e-08
   6.800000e-01        2.105646e-08        1.589391e-10        2.089753e-08
   6.850000e-01        1.315565e-08        8.743231e-11        1.306821e-08
   6.900000e-01        8.167232e-09        4.772217e-11        8.119509e-09
   6.950000e-01        5.038151e-09        2.584494e-11        5.012306e-09
   7.000000e-01        3.088152e-09        1.388794e-11        3.074264e-09
   7.050000e-01        1.880854e-09        7.404699e-12        1.873449e-09
   7.100000e-01        1.138250e-09        3.917274e-12        1.134333e-09
   7.150000e-01        6.844544e-10        2.056211e-12        6.823982e-10
   7.200000e-01        4.089526e-10        1.070923e-12        4.078817e-10
   7.250000e-01        2.427844e-10        5.534216e-13        2.422310e-10
   7.300000e-01        1.432140e-10        2.837664e-13        1.429302e-10
   7.350000e-01        8.393914e-11        1.443687e-13        8.379477e-11
   7.400000e-01        4.888276e-11        7.287724e-14        4.880989e-11
   7.450000e-01        2.828504e-11        3.650211e-14        2.824853e-11
   7.500000e-01        1.626167e-11        1.814058e-14        1.624353e-11
   7.550000e-01        9.289203e-12        8.945227e-15        9.280258e-12
   7.600000e-01        5.272233e-12        4.376619e-15        5.267856e-12
   7.650000e-01        2.973114e-12        2.124678e-15        2.970989e-12
   7.700000e-01        1.665826e-12        1.023421e-15        1.664802e-12
   7.750000e-01        9.273796e-13        4.891286e-16        9.268905e-13
   7.800000e-01        5.130309e-13        2.319523e-16        5.127990e-13
   7.850000e-01        2.821690e-13        1.091393e-16        2.820599e-13
   7.900000e-01        1.546446e-13        5.095315e-17        1.545936e-13
   7.950000e-01        8.527686e-14        2.360304e-17        8.525326e-14
   8.000000e-01        4.920752e-14        1.084855e-17        4.919667e-14
   8.050000e-01        3.382387e-14        4.947465e-18        3.381893e-14
   8.100000e-01        3.492888e-14        2.238725e-18        3.492664e-14
   8.150000e-01        5.622203e-14        1.005139e-18        5.622103e-14
   8.200000e-01        1.123933e-13        4.477732e-19        1.123928e-13
   8.250000e-01        2.376436e-13        1.979235e-19        2.376434e-13
   8.300000e-01        5.037758e-13        8.680480e-20        5.037757e-13
   8.350000e-01        1.055972e-12        3.777437e-20        1.055972e-12
   8.400000e-01        2.181313e-12        1.631014e-20        2.181313e-12
   8.450000e-01        4.437136e-12        6.987555e-21        4.437136e-12
   8.500000e-01        8.886926e-12        2.970297e-21        8.886926e-12
   8.550000e-01        1.752590e-11        1.252800e-21        1.752590e-11
   8.600000e-01        3.403516e-11        5.242886e-22        3.403516e-11
   8.650000e-01        6.509434e-11        2.177039e-22        6.509434e-11
   8.700000e-01        1.226266e-10        8.969520e-23        1.226266e-10
   8.750000e-01        2.275724e-10        3.666732e-23        2.275724e-10
   8.800000e-01        4.161249e-10        1.487292e-23        4.161249e-10
   8.850000e-01        7.498656e-10        5.985776e-24        7.498656e-10
   8.900000e-01        1.331973e-09        2.390296e-24        1.331973e-09
   8.950000e-01        2.332750e-09        9.470873e-25        2.332750e-09
   9.000000e-01        4.029221e-09        3.723363e-25        4.029221e-09
   9.050000e-01        6.865726e-09        1.452405e-25        6.865726e-09
   9.100000e-01        1.154539e-08        5.621438e-26        1.154539e-08
   9.150000e-01        1.916655e-08        2.158808e-26        1.916655e-08
   9.200000e-01        3.142396e-08        8.225981e-27        3.142396e-08
   9.250000e-01        5.090246e-08        3.110058e-27        5.090246e-08
   9.300000e-01        8.150170e-08        1.166692e-27        8.150170e-08
   9.350000e-01        1.290452e-07        4.342613e-28        1.290452e-07
   9.400000e-01        2.021471e-07        1.603811e-28        2.021471e-07
   9.450000e-01        3.134374e-07        5.877088e-29        3.134374e-07
   9.500000e-01        4.812815e-07        2.136871e-29        4.812815e-07
   9.550000e-01        7.321794e-07        7.709062e-30        7.321794e-07
   9.600000e-01        1.104093e-06        2.759509e-30        1.104093e-06
   9.650000e-01        1.651026e-06        9.800973e-31        1.651026e-06
   9.700000e-01        2.449299e-06        3.453931e-31        2.449299e-06
   9.750000e-01        3.606070e-06        1.207717e-31        3.606070e-06
   9.800000e-01        5.270841e-06        4.190093e-32        5.270841e-06
   9.850000e-01        7.650871e-06        1.442412e-32        7.650871e-06
   9.900000e-01        1.103166e-05        4.926767e-33        1.103166e-05
   9.950000e-01        1.580399e-05        1.669713e-33        1.580399e-05
